user,text
Violet2505,RT @stockguy61: @SpeakerMcCarthy THAT WOULD BE A FIRST YOU LYING TRAITOR TO AMERICA https://t.co/b2Njlc8XN6
Tat2edGran,@SpeakerMcCarthy 4 votes..4
Acctool68,@SpeakerMcCarthy #BanCRT #BanSEL #BanDEI from OUR schools @MikeKellyPA @laurenboebert @RepAndyBiggsAZ @mtgreenee
DavidSydow12,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/kVlgDPio2a
WilyChristian3,RT @thetrueshelby: @SpeakerMcCarthy @SarahHuckabee https://t.co/SyECF3DGOu
wkn4alivin,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/w6Y3lWvTs8
ur_genious,@SpeakerMcCarthy Yes teach kids that gay and slavery doesn't exist 🤗
conradbooker,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/j3lp0y4gbv
Boltzy64Davis,@SpeakerMcCarthy Kevin doesn't care where your kid goes to school because they're all government indoctrination camps.
rememberMudgie,@SpeakerMcCarthy Children cannot achieve their full potential if you don’t teach them anything—looking at you republicans.
Z22239641134,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/YOPYRlnJfx
LauraClaycomb,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/S7xPuTYgvC
PepperJelly3,@SpeakerMcCarthy @RepMichaelGuest Ladies and gentlemen The “TEMP” Speaker of the House! @SpeakerMcCarthy SEDITIOUS CONSPIRACY!
CACTIFF2018,@SpeakerMcCarthy Fix the border
KathyThornhill1,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/LbFisDvre0
GaryRitz4,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/qzwY9AQOTI
HeXian68,@SpeakerMcCarthy https://t.co/4QbMfsneq9
kutepirate44,"@SpeakerMcCarthy start by not banning or burning books,and stop your fake promises,restore women's right to be able… https://t.co/w9AczwGFCM"
ApsyAngst,"@SpeakerMcCarthy Kev, you believe in nothing but clinging to power."
MOMMoeK,"@SpeakerMcCarthy As Speaker, you sold your soul for power. In the words of your boy, Trumpy….SAD!"
Sharon30722539,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/Rx6gb6X2dX
randysm05783710,"@SpeakerMcCarthy Less talk, more action please. You have less than two years and the clock is ticking."
HawaiiDelilah,@SpeakerMcCarthy More like Back the Coup.
real_elpee,@SpeakerMcCarthy Trump is the most crooked president in our history. Republicans didn't have the guts to make him a… https://t.co/VJhYoiNMu6
KiwiJuanito,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/GHNKxfXbQn
SeamusDONOVAN6,@SpeakerMcCarthy @RepMichaelGuest Do you think a FOURTEEN TIME LOSER...and elected on FIFTEENTH COUNT ....JUST STIL… https://t.co/N3NehZY4Bm
dot34132775,@SpeakerMcCarthy @RepMichaelGuest Better stop playing pocket pool sir an do ur job or as a taxpayer  I will vote u out
MicKen08799600,@SpeakerMcCarthy How about introducing laws that ban CRT across America?
itsmewendle,"@SpeakerMcCarthy You wouldn’t even meet with Michael Fanone or the Sicknick family. Shut your pie hole, you hypocrite."
Malcy43,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/OZUTYffN1s
Nikki87679054,@SpeakerMcCarthy @RepMichaelGuest Seriously let's do this @SpeakerMcCarthy these blasphemous and treachery assaults… https://t.co/AnrxaRfOFi
BrianELogan,RT @Fuzzy_Fuzzbutt: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Re…
BrendaMinto,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/lhVeKGktEU
FRH08558686,RT @NoLieWithBTC: @SpeakerMcCarthy You just put this person on the Homeland Security Committee.  https://t.co/f0r1vHQgxl
BosJerseyGirl,@SpeakerMcCarthy hope you stick to your word. These people need to pay for their actions. https://t.co/S7CTg3ntO1
MikeNea45442450,@SpeakerMcCarthy there is so much fat in government agencies. It’s time for Congress to demand accountability and m… https://t.co/gdQyUa3MEj
MsTrixieRVA,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/DIts2redsw
kutepirate44,"@SpeakerMcCarthy kevin now is as low as ted cruz who is hated even in Texas,all he cared about is his title ,maga t… https://t.co/9VJaX7YLWL"
beerchime,@SpeakerMcCarthy Trumpers 🤣
Artfuldodgerer,@SpeakerMcCarthy Why Schiff!?
bisbanol,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/0IdMValkxt
Sharon30722539,@SpeakerMcCarthy https://t.co/alJ3IRLQ8O
McGoula81,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/Aoy33htTia
Bangkok60951032,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/NLjkjhJBof
bisbanol,@SpeakerMcCarthy Hope
CanDoChiChi,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/oPIdir1k8i
gb452024,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/uBiGLrwvX0
yourdai26236071,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/MrdazDDTCN
blueshiftaz,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/hKFU6wiuNp
CaseyDre,RT @BellaRisttaa: @SpeakerMcCarthy You speaker McCarthy refused to tell the truth about conman trump and election fraud.  Look at yourself…
garci32,@SpeakerMcCarthy @RepMTG  Is MTG the other WOMAN in your life ???
_BruzSam,RT @BostonInSouth: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Rep…
lyndalee3,@SpeakerMcCarthy No!  Here in NH it is NOT working. Money is being stripped out of the public schools by the Rich w… https://t.co/K5oLgwhVxx
pennyhenny365,@SpeakerMcCarthy fund the Public schools or stop demanding taxes on our properties for schools. You rich anusholes… https://t.co/tdPZvSwZFh
kutepirate44,"@SpeakerMcCarthy mccarthy is clinging to his gavel by allowing liars like santos not to be expelled,and allowing ma… https://t.co/5khsB2E9Gk"
CaseyDre,RT @ZaleskiLuke: @SpeakerMcCarthy Trump has taken over the House of Representatives so he can thwart oversight against him. He is stealing…
RAOCES,@SpeakerMcCarthy @RepMTG @RepBoebert @SenTedCruz @SenTomCotton and entire @GOP @SenateGOP @HouseGOP… https://t.co/pk3LBRyQzq
Kellyk1969,RT @BostonInSouth: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Rep…
eebart1,RT @lisasmith1150: @SpeakerMcCarthy @SpeakerMcCarthy https://t.co/thTc6rJ8YJ
coachkmadden,@SpeakerMcCarthy THEN PARENTS need to get their butts in the classroom and put up with their brats.  All this paren… https://t.co/JKL7fi1lgs
HuttmanDennis,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/uJyhlcHDLP
JoshLRussell,@SpeakerMcCarthy Political purposes like defending democracy from an attempted coup?
Bangkok60951032,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/CV6urqzKMg
Kellyk1969,RT @ChicagoWindy62: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Re…
KylaGWolf,@SpeakerMcCarthy hey now that you are in charge release all the emails and film Pelosi tried to hide in January 6th
SCWatt,RT @BostonInSouth: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Rep…
Kellyk1969,RT @DanielleCandela: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @R…
SCWatt,RT @JLVsTW1: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepChrisS…
Kellyk1969,RT @DCelesteSpencer: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @R…
Kellyk1969,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/B4T2qIXjW3
schachin,RT @BostonInSouth: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Rep…
